评论ID,评价内容,情感倾向,评价长度,长度分类
131,"设施：非常新的法国小众品牌酒店。设计时尚；房间里的用料都很高档。
服务：服务人员非常热情周到，房间有水果、临睡前有甜点、临走还有地道小吃伴手礼送。",正面,73,短(51-100字)
132,补充：我们一共订了3间房，前台提前一天打电话确认入住信息和时间，我提醒了要无烟且有孕妇，到实地办理入住时，确认有备注和再一次明确，很好，很感谢🙏,正面,72,短(51-100字)
133,酒店设计感爆棚，服务更暖心！超满意这次入住！酒店设计前卫时尚，设施新且智能，体验一流。前台小帅和小娟的服务必须给满分！热情、高效、专业！入住/退房丝滑流畅，主动介绍设计特色和酒店服务，笑容灿烂，有求必应，让整个旅程都舒心不少。强烈推荐！,正面,118,中等(101-200字)
134,房间卫生干净，管家专人服务周到，还为小孩专门准备用品，水果、下午茶、饮品不应倶会，离店还有伴手礼，下次还会再订。,正面,56,短(51-100字)
135,酒店环境特别好，设施设备也都是品牌，处处都体现轻奢的风格，早餐也很有特色，两天下来孩子很喜欢在这里住，以后来乐山还是会选择安珀,正面,63,短(51-100字)
136,房间干净整洁，预订的酒店套餐包含的服务几乎没有享受到，有且只有三个水果哈哈哈😂,正面,39,极短(≤50字)
137,离高铁站近，出行方便，周边吃食选择多，应该是乐山最好的酒店之一。适合习惯商务出差、高要求的个人，带娃家庭，安全、贴心，房间大、卫生整洁，服务有小巧思。,正面,75,短(51-100字)
138,代朋友预订，说整体感觉性价比不高，还行吧，地理位置还不错打车方便，早餐不太丰富，房间智能化不够，比较安静。,正面,53,短(51-100字)
139,"如果下次来乐山，住这里是很重要的理由之一。
在停车场大家在说这个名字和法国的Albar一个名字。问了才知道，就是一个集团的。国内只有乐山、成都、贵阳三个地方有。
装修和服务都非常法式，早餐特别好！早餐的跷脚牛肉比外面的好吃。早餐的烘焙也特别好。",中性,122,中等(101-200字)
140,非常满意这次入住的安珀酒店，浓浓的法式风格算得上乐山酒店里的NO.1了，无论服务还是行政礼遇都很棒，而且看我们有小孩还为我们免费升级了房型，也贴心的给了儿童用品。以后到乐山就选安珀了。酒店的门面很隐蔽，要细看才知道，私密性特强。,正面,114,中等(101-200字)
141,难得来乐山旅游，选对酒店很重要，这家酒店没有让我失望，前台小赵和小颖态度很好，有问必答，酒店设计很有品味，住宿体验感满分，下次还会再来!,负面,68,短(51-100字)
142,非常安逸！小祝管家很贴心。,中性,13,极短(≤50字)
143,除了离景区稍微远些，其他几乎没有缺点。前台的小郭和小赵也很nice,负面,33,极短(≤50字)
144,超越预期，续住了一天。离主城区有点远，好在自驾，城市不大，找美食很方便。服务员都很热情👍,正面,44,极短(≤50字)
145,"卫生：整个酒店都弥漫着一股淡淡的清香，有点像花香，闻起来很舒服，同时房间打扫的也非常干净
设施：整个酒店从装修到备品都很有高级感，让人觉得这才是高档酒店应有的样子。
环境：地处新市中心（出租车司机这样讲的），去几个旅游景点（如乐山大佛、苏稽古镇）都不算很远。所有客房基本上都在高楼层，夜里休息非常安静。
服务：服务没得说，欢迎水果什么的都不必多提，每一间客房都有小管家服务，可以给你提供旅游攻略，可以给你送外卖取快递寄包裹，而且微信基本上是二十四小时秒回（我和我媳妇是夜猫子，大晚上一两点点外卖小管家也能给送到房间里）。走的时候还会送一份伴手礼，是一些特产糖果，还蛮好吃的😄
唯一一个不太满意的地方就是酒店的门有点难找，不过走的时候和小管家聊天他说已经在改进了，期待下次入住
展开更多",正面,342,长(201-500字)
146,谢谢小帅！谢谢小娟！在乐山安珀入住很愉快！房间干净整洁简约舒适的同时，服务非常值得称赞！遇到小问题反应非常迅速，我们打算去峨眉山转一天，小娟也非常了解游客中心和大巴相关信息。退房后发现忘了耳机在房间里，小帅也耐心地帮我找到，并帮我寄出。细致周到，妥妥当当，宾至如归，点赞！！,正面,137,中等(101-200字)
147,小袁的服务非常好！早餐也很不错，下次来乐山还会继续选择这家！,正面,30,极短(≤50字)
148,酒店装修蛮新~服务也很热情~早餐很好吃~性价比挺高的~同样标准的酒店估计去其他城市价格至少要贵一半~就是房间的空调太难懂了~明明晚上挺凉快但是每天早上都是被热醒~另外建议矿水换个包装吧~不是很好饮用~,中性,100,中等(101-200字)
149,此次酒店之行超满意！前台小娟和小方服务堪称一流，员工热情洋溢，从咨询到入住，全程耐心引导。房间设施设备十分出色，灯光、空调调控便捷。床品柔软亲肤，住得无比惬意，下次肯定还来！,正面,87,短(51-100字)
150,真的不错，性价比超高，服务也很到位，前台小鱼很棒服务的很好…,正面,30,极短(≤50字)
151,酒店宽敞 干净 工作人员态度都很好 服务超级棒,正面,23,极短(≤50字)
152,订了亲子房很好，服务也很好，还有赠送的儿童餐，总体很棒，推荐,正面,30,极短(≤50字)
153,这个价格服务真是超预期了非常好，比很多五星级豪华酒店的服务都周到,正面,32,极短(≤50字)
154,酒店设计非常棒，管家办服务员非常贴心！太惊喜有这么棒的酒店,正面,29,极短(≤50字)
155,酒店房间干净整洁，员工服务态度热情,正面,17,极短(≤50字)
156,房间很大很干净 东西很齐全 还有小蛋糕 前台也很好很不错 推荐,正面,31,极短(≤50字)
157,去年春节在乐山住宿踩了坑，所以今年出行前特别用心地挑选酒店，最后选择了安珀，结果成了此次春节游的最美好回忆！方方面面非常赞👍,正面,62,短(51-100字)
158,住过这家酒店好几次了，每次都有不一样的惊喜  酒店风格别致，在乐山几乎找不到同款，很温馨舒适，另外前台小帅和小娟的服务很好，希望继续保持，下一次来乐山闭眼选择安珀！！！,正面,84,短(51-100字)
159,"不愧是乐山排名第一的酒店，软件硬件都很到位
吹风机是戴森的，有欢迎水果、迷你吧免费
早餐也很丰富，有甜皮鸭钵钵鸡蛋烘糕",正面,59,短(51-100字)
160,服务周到，特别是小杨和小帅，因睡眠不好，大晚上还亲自送眼罩上来，有家的感觉,中性,37,极短(≤50字)
161,"非常满意，卫生和设计没得说，服务也周到
设备比较新，住起来很舒服
位置离高铁站很近，比景区那边方便出行，也不堵车，完美",正面,59,短(51-100字)
162,"年轻的乐山安珀，必须要给每一位服务人员点赞！从入住前管家电话沟通到添加微信的体贴服务，到入住后每一个笑容与问候，都体现了年轻一代从业者对服务行业的态度，值得表扬！

一家人对美食的热爱，所以选择乐山安珀。春节假日期间繁忙的早餐厅生机勃勃，管理岗位的孙毅先生很细心周到的询问了小朋友的口味，并及时给我们推荐菜品和服务，表示感谢。

家里小朋友说这是此次行程中房间清洁、服务最棒的一家酒店，让我一定要记得表扬各位服务哥哥姐姐叔叔阿姨！
展开更多",正面,220,长(201-500字)
163,乐山特别好的酒店 前台小鱼很热情 酒店很有设计感 早餐也很丰富 房间遗留了物品也会帮我们寄回 下次还会来的,正面,53,短(51-100字)
164,这家酒店给我留下了非常深刻的印象，酒店的服务非常棒，一进门就感受到宾至如归的温馨，房间很宽敞干净，服务态度也很好，非常喜欢这家酒店的氛围，安静、雅致，让人可以放松身心。司机小祝和前台小颖细致周到的服务让人印象深刻，小黄经理的介绍十分全面。还有就是这家酒店让我惊喜不断！房间装修精美，设施先进，而且服务态度极佳。非常适合商务出差和旅游观光。,正面,169,中等(101-200字)
165,"环境：房间挺安静的 楼下虽然是工地 但是晚上没有施工 
设施：智能马桶，戴森吹风机
环境：有点设计不错 有点格调
服务：服务不错，早餐最棒，那个排骨最好吃，跷脚牛肉都是干货。",正面,87,短(51-100字)
166,房间很豪华，晚上还有糖水，很暖心，前台服务超好，让我们感受到了四川人的热情，前台小哥还帮我们把行李送进了房间，忘记拍照了,正面,60,短(51-100字)
167,"设施：超新超棒

卫生：特别干净

环境：安静舒适

服务：简直超五星服务

房间的东西都是免费的，私享管家服务，特别贴心，以后来乐山就这了！！！
oh 对了，还有小绵羊娃娃🐑敲可爱
展开更多",正面,96,短(51-100字)
168,早餐丰富，服务也不错，下次有机会到乐山，还会选择这里。,正面,27,极短(≤50字)
169,没想到乐山还有这么好的酒店，房间按高星级装修，整洁舒适，小娟和小郭服务周到，下次去的话还会住,正面,46,极短(≤50字)
170,从酒店环境，酒店服务和酒店设施，不得不说值得5星好评！酒店早餐也深得我心！管家小王小帅和前台小赵无微不至，热情又不过分热情的服务让人极度舒适！！！！下一次来乐山，我仍然会选安珀！,正面,89,短(51-100字)
171,"整体来说，作为一个度假酒店是合格了，酒店大堂有设计感，房间干净，夜床服务也贴心的放了水和杯子，乳液，管家帮忙接送高铁站，拿外卖都非常有耐心，还会把我们去峨眉山的行程和该如何买门票都写的很详细，非常感谢服务过的每一位管家，只是如果再加强一点自主服务意识会更好
1，文案请按每个自己服务的客人来写，四月底和客人说新年快乐
2，我当时说有点感冒，酒店不配备药给客人是很合理的，但可以多问一句有什么能帮到客人会更好，但我提议了煮姜茶后，管家也很贴心的送了两杯上房间

酒店设施方面
1，隔音非常差，恰巧碰到喜欢在楼道里大声说话抽烟的客人，却没有服务人员上来制止
2，空调温度一直不稳定，白天的时候温度不制冷
展开更多",正面,304,长(201-500字)
172,"酒店位于乐山新的开发片区，很新
整体的房间装修风格非常法式，很优雅
最贴心的是酒店的服务
每天晚上都会准备新鲜水果和一份甜品
而且每次不一样，很用心
早餐是以点餐为主，乐山经典的蛋烘糕、跷脚牛肉、叶儿粑都有，西式的餐点做的精致又美味
有鲜榨果汁，现做的咖啡，拉花也很漂亮
连住三天感觉被照顾的很好，休息的也很好
非常感谢服务管家小帅小祝和前台小黄
退房的时候还送了小礼物，乐天特产米花糖
展开更多",正面,198,中等(101-200字)
173,房间确实不错，设施设备都很新，还有蓝牙音箱，迷你吧，更更重要的是🈶接送服务，酒店的自助早餐也非常不错，蛋烘糕比外面卖的还要好吃，真的非常棒，就是服务响应有点慢，给我的手写卡片弄错了姓氏，不过瑕不掩瑜，真的值得一住，乐山之行首推，以后若有机会还会继续入住～,正面,127,中等(101-200字)
174,"乐山新开的一家酒店，位置就在万达场旁边，周围也有很多吃的，晚上宵夜众多。
茉.Cafe西餐厅法式双人下午茶:时间合适的推荐这个一定要试一下，个人感觉不错",正面,76,短(51-100字)
175,服务非常非常好，从进入酒店那一刻就有服务人员一直跟着服务，帮忙按电梯之类的，非常热情。酒店装修豪华，法式风格，戴森吹风机，房间配置了usb接口，还有手写姓名问候卡，甜点，免费饮品，车库免费且有充电桩，非常方便。位置紧挨万达广场，吃玩方便，万达有冯四孃跷脚牛肉，味道不错。离店的时候还有伴手礼，非常贴心。总的来说，这家酒店性价比非常高，服务可以和麻袋卓美亚之类岛屿的管家服务媲美，这是第一次认识安珀，细节处理很棒，满分好评，下次去其它城市也会考虑安珀,正面,224,长(201-500字)
176,乐山安珀酒店的风格设计很有特色，以法式风情为基底，巧妙融入中式元素，两种风格碰撞出独特的韵味，处处透着低调而精致的高级感。前台工作人员小方和小赵的服务也让人印象深刻，不仅热情周到，面对需求时更是反应迅速，总能及时提供帮助，体验很舒心。这次乐山游玩，已多次入住乐山安珀酒店，累计住宿总共10个夜晚，是旅游首选入住酒店。,正面,158,中等(101-200字)
177,环境都可以 卫生也可以 唯一让我不喜欢的就是酒店的中餐厅 点什么菜都没有 还送个道歉水果 你要是诚心道歉你就给我切一盘水果 结果给的道歉水果都是发黄的 你们要是没诚意 就说没诚意的 别这么恶心我 酒店前台也就那么回事儿吧！各位我是不会再来这个穷乡僻壤之地！,中性,128,中等(101-200字)
178,应该是乐山最好的酒店了。本来住在另外一家景区里的酒店，也是携程五钻但卫生实在堪忧，所以就换到这家酒店。酒店的设计装潢很有风格，服务态度特别好，还有专门管家，有什么问题可以给管家直接发微信，外卖也能帮你拿上来，真的是太周到了。房间里喝茶很惬意，晚上还送了小蛋糕，很好吃。酒店早餐也不错，推荐！下次来乐山还住这里！,正面,155,中等(101-200字)
179,一个奢华低调的五星级酒店品牌~安珀酒店。成都麓山国际社区有这个品牌，早就知道这个酒店的设施，管理都是超五星的。这次带着孩子入住酒店，设施很贴心，自动化程度很高，马桶，窗帘都是电动的，还配备了戴森吹风机。优雅安静的环境舒缓了旅途疲惫。迷你吧，饮料，咖啡啤酒一应俱全。还给准备了欢迎水果果盘。早餐非常好吃，除了大众美食，还有乐山特色的钵钵鸡等小吃。本次入住为我们服务管家小帅小祝和前台小娟无微不至的服务感受到了家的温暖。,正面,208,长(201-500字)
180,应该算是乐山服务天花板的酒店了，管家小代小帅有求必应，给孩子安了防摔围栏，前台小钱也提前打了电话免费升级了房型，走的时候还送了孩子伴手礼，早餐非常不错，中餐西餐轻食加乐山特色，早上一起床就是蛋烘糕，钵钵鸡自由。酒店还有两个餐厅，带了孩子没去体验，应该很适合情侣约会。,中性,133,中等(101-200字)
181,酒店设施、卫生等非常好，房间布局设备按五星要求做，特别是进门那个厅我很喜欢，管家小帅服务很好，驾驶员小祝接送服务也很好，早餐品种丰富，有机会还会光顾。,正面,75,短(51-100字)
182,确实是乐山酒店天花板，标准的五星级！很精致，尤其是早餐，品种不算特别多但是很精致，牛肉面，蛋烘糕，都很好吃！房间有胶囊咖啡机，城景房虽然风景不行，但房间大！服务意识强态度好！伴手礼暖心，唯一的缺点是晚上洗澡水不够热。,负面,108,中等(101-200字)
183,"这次入住，整体感受超了预期！前台小鑫的服务格外贴心，退房时不仅主动询问入住体验，还赠送了精致的伴手礼，让人倍感惊喜。办理入住时，小杨温柔细致的讲解也让初到酒店的陌生感瞬间消散。
酒店的设计充满艺术感，每个角落都适合拍照打卡，轻松拍出氛围感大片。此外，酒店还提供免费的颂钵疗愈体验，空灵的音波帮助身心彻底放松，为旅程增添了一份特别的治愈感。
从硬件设施到人员服务，安珀酒店都展现出了极高的品质与温度，绝对会是我再次入住的首选，也推荐给追求精致体验的朋友们！
展开更多",正面,232,长(201-500字)
184,其他都很不错，就是隔音有点差，外面半夜施工，没太睡好,正面,26,极短(≤50字)
185,"很开心选择了安珀酒店，体验非常美好。服务很主动贴心，管家安排的很细心。淡季出游，还协调了高铁站接送。
酒店根据入住率，淡季的时候早餐是半自助的点餐，但品种很丰富，从咖啡果汁面包三明治到生滚粥蛋烘糕，都做的很用心细致，味道很好。房间内每天都会准备新鲜水果和晚间点心。
房间宽敞，卫生情况很好，公区的细节很有特点。睡不惯默认枕头的客人，可以联系管家，还有很多其他选择。谢谢这几天管家小代小帅和司机小祝的妥帖安排，期待下一次再入住。
展开更多",正面,218,长(201-500字)
186,房间干净卫生，设施品质不错，服务亲和，下次会再次光临,正面,26,极短(≤50字)
187,一如既往的喜欢，一如既往的舒服，前台小郭和小娟超级nice,中性,29,极短(≤50字)
188,很有艺术气息的酒店，很新，用品有质感有品质，非常棒。服务很好，管家小代小帅，前台小钱热情周到，每天一早还有早安问好天气播报，特别细心。离开时还送了小羊玩偶孩子很喜欢。在乐山算是很好的酒店，下次还来！,正面,99,短(51-100字)
189,"法式浪漫与乐逸山水的完美结合，除了周边配套不够齐全，酒店正门不够明显，其他可以称得上是乐山酒店界的天花板。工作人员会提前和客人联系，前台提前办理了入住，并陪同到房间细致讲解设施使用方法，退房的时候前台妹妹小黄、小雨还送了酒店伴手礼🎁进入房间让人眼前一亮，桌子上手写的卡片诚意满满，落地窗的设计使房间宽敞明亮，即便在阴雨的天气，室内也不会太过昏暗；设施布局合理，府邸管家小帅、小袁服务热情且贴心，入住的每天提供水果和下午茶，客人订的外卖，也不厌其烦地亲自送到房间，还帮忙加热食物。早餐采用点餐和半自助方式，让客人吃得舒心，还不会浪费。订制的矿泉水，mini bar的配置饮品，以上林林总总，让讲究品质生活的我们，住得不想走……相比之下，客房保洁还需要提高：房间打扫不够细致，入住第二天，回来发现水池旁的香皂盒没有清洁，浴室凳上的被子没有收拾，客人出门前脱下的拖鞋，回来时依旧横七竖八地摆在那里，浴室早晨洗澡后地面留下的水渍及头发，下午回来的时候发现依然在那里没有打扫。瑕不掩瑜，感谢此行为我们提供服务的所有工作人员，下次再来乐山还会选择入住。
展开更多",正面,475,长(201-500字)
190,差点忘记来赞👍。终于在乐山找到了有颜又nice的酒店～～～酒店很新，法式风格，从进门开始到前台到房间到早餐餐厅，一股子精致感～～服务人员也很nice，从入住前就有管家小代、小帅提前沟通联系，详细询问，前台的小颖很不仅一路送我们到房间，还给我们推荐了当地美食，退房时还给每个孩子赠送了可爱的伴手礼，地下停车场也有充电桩可以满足电车出行，总之是很愉快的一次入住！下次到乐山逛吃的时候，还会选择安珀👍,正面,197,中等(101-200字)
191,设计师酒店，低调奢华，所有设备和配套设施都看得出酒店的用心，特别惊喜的是帮我们升级了房间，早餐半自助同时可以点餐，美味且精致。整个酒店处处体现法式优雅。特别值得说的是服务，让我们感觉非常舒服，像住家一样自在。从入住前一天管家小袁就开始了解需求，入住后一系列服务，用心且细致。还要感谢前台小黄和小雨，服务到位。,正面,154,中等(101-200字)
192,非常安静，私密，体验感很好，推荐,正面,16,极短(≤50字)
193,入住安珀酒店好几次了，每一次的服务都很好很暖心。酒店设计感很强，在乐山不常见，有自己的特色。感觉比我住成都的安珀酒店感觉还要好，很喜欢，下次带朋友来体验，特别表扬前台小娟和小赵，非常感谢她们的热情服务,正面,100,中等(101-200字)
194,服务态度超级好 环境也很好 装修风格很不错 没想到乐山还有这种酒店 感觉很小资 以后来乐山还住这家 而且去哪里都很紧不错不错,正面,62,短(51-100字)
195,除了小姑娘不太会算钱，其他是我四川行住的最舒服的酒店！,中性,27,极短(≤50字)
196,酒店不错，前台小方小郭很贴心，办理入住迅速，还延迟了退房，还寄存了行李，L层今天还有做香包活动，很不错，很满意的入住体验。,正面,61,短(51-100字)
197,很棒很棒 安珀的服务一直都是非常nice的～早餐相当丰富，还有贴合当地特色的小吃早点！👍,正面,44,极短(≤50字)
198,酒店很好，卫生和环境都不错，停车方便，服务也非常好。,正面,26,极短(≤50字)
199,对乐山安珀的印象完美，房间和订房照片相比所见即所得，宽敞舒适装修有格调，离乐山景区和几个美食街区15分钟左右车程，早餐很贴心特意安排了乐山经典小吃，专属管家一路服务随时响应热情而有分寸。感谢服务管家小帅小祝和前台小娟的照顾。,正面,112,中等(101-200字)
200,服务超级好！想要服务好的盆友！一定值得体验！给男盆友过生日！所以选了这一家！只能说！服务超级棒！卫生也很nice！,正面,57,短(51-100字)
201,"酒店环境：特别好，很安静，入住舒适
酒店一楼接待：五星好评，外卖每次都送上楼，谢谢
酒店管家服务：非常好，五星好评，手表遗落后立即打电话，非常满意，谢谢
酒店前台：非常满意，入住手续很快，房间提前办好了，服务热情.
总体：五星酒店.值得入住！",正面,121,中等(101-200字)
202,这家酒店非常棒，很好的入住体验，工作人员服务意识都很强，特别表扬管家小方和司机小祝，两位非常细心和细节，接送站服务贴心，司机热情大方、驾驶技术娴熟、车内干净整洁，酒店感觉也很细节，以后再来乐山还会选择你家，也会给朋友推荐的。,正面,112,中等(101-200字)
203,暖色调的装修风格很喜欢，管家式服务很棒，早餐丰富，还可以送到房间。值得推荐！,正面,38,极短(≤50字)
204,配置一般，服务一般，房间内啥也没有也要收你1000多的押金！去前台办理入住的时候，三个工作人员围着一个电脑等你排队慢慢等！旁边那个电脑就是不愿意有人去给办理！以后不会再去了！,负面,87,短(51-100字)
205,"设施：超喜欢安珀酒店的酒店入口，有种小隐于市的感觉。
卫生：好评。
环境：很不错。
服务：超棒，可以高铁站接送这一点超满意。
是会考虑再想住一次的酒店。
周六专享欢乐时光套餐:蛮好。
迷你吧:蛮好。
欢迎水果:蛮好。
展开更多",正面,113,中等(101-200字)
206,服务管家小帅、小袁和前台小郭服务热情周到，自助早餐乐山美食全收录，不用出门就一网打尽，住着最舒服，本来待一天又续住，还会再来。,正面,63,短(51-100字)
207,非常好的一个酒店，早餐也好，而且餐厅特别艺术,正面,22,极短(≤50字)
208,感谢管家小代小帅和前台小雨的热情服务！还免了孩子的早餐费；准备了孩子拖鞋，牙刷等。酒店环境好，设施棒！大浴缸孩子没玩的很开心。下次还会选择这里！,正面,72,短(51-100字)
209,连续住两天，乐山最佳，管家小代小帅和前台小雨服务很棒，任何回复有求必应，早晨餐厅人好多，排队说到了给我打电话也是会打来，真的推荐的一个酒店。，,正面,71,短(51-100字)
210,环境很好，设施新，用品也都很好。本次入住服务管家小周小袁和前台小娟都很贴心，有事能及时回复。酒店的早餐半自助半点餐，东西也很好吃。,正面,65,短(51-100字)
211,房间面积，配套设施，人员服务还有早餐（牛肉面和跷脚牛肉好吃）在这个价位都算无可挑剔，前台还给做了房型升级，管家小赵和前台小颖的服务也很贴心，很愉快的一次入住体验。,正面,81,短(51-100字)
212,这次入住体验非常棒！前台的小鑫服务特别热情，办理入住时微笑亲切，耐心解答我们的问题，还给推荐了周边好吃的餐厅。房间干净整洁，床品舒适，住了一夜好眠。大堂设计也很漂亮，灯光温馨，整体氛围让人感觉很放松。会推荐给朋友，下次来一定还住这里！,正面,117,中等(101-200字)
213,第一次入住乐山安珀，体验真的很好，浴室大理石超美，感谢前台小徐和小陶的热情款待！,正面,40,极短(≤50字)
214,"房间挺不错，读物也很好，很喜欢。
尤其早上的米线，有点小惊艳！",正面,31,极短(≤50字)
215,在乐山住过最满意的酒店，管家式服务。过敏了，需要冰块，酒店管家提前准备好崽大门口等我。非常nice,正面,49,极短(≤50字)
216,"这次周末出行选择了新开的乐山安珀，定的时候对比了一下其他1-2K+的网红民宿，还是觉得连锁酒店品质更加稳定。(虽然没有老公比较在意的游泳池，但是有孕妇离不开的智能马桶。)
事实证明绝对的物超所值。酒店不管是从硬件设施还是员工的服务意识在地级市酒店妥妥的天花板。法式+暗黑风的装修风格让人从入住到离开都忍不住拍拍拍。
最满意的还是早餐部分，不仅有丰富的西式中式早餐品种，还有乐山特色的钵钵鸡、甜皮鸭和现烤的蛋烘糕。整个早餐感觉吃到了一天的饭量，一整个大满足。
展开更多",正面,233,长(201-500字)
217,安珀酒店一如既往的保持着服务质量，工作人员耐心，热情一直微笑服务，下次还会选择安珀。已经安利给身边的朋友家人,正面,54,短(51-100字)
218,房间很不错，马桶智能的很方便，前台的小鱼 小鑫 小杨很不错,正面,29,极短(≤50字)
219,酒店离乐山高铁站近，周围有万达广场等，商业配套成熟，出入打车方便。酒店设备很新，卫生干净。早餐丰富好吃，餐厅师傅很用心，酒店钵钵鸡和甜皮鸭给我们留下深刻印象。服务人员热情礼貌。特别感谢礼宾小袁的热情服务！会推荐来乐山朋友入住。,正面,113,中等(101-200字)
220,房间宽敞，设施新且好用，吧台饮品丰富。,正面,19,极短(≤50字)
221,酒店设施不错，环境干净整洁，枕头睡起很舒适。早餐的就餐环境不错，味道也很好。小帅小袁的服务周到细致。,正面,50,短(51-100字)
222,入住的很满意 酒店很漂亮 前台小郭和小方服务很好,正面,24,极短(≤50字)
223,在这次的旅途中住得最舒服的一家酒店。服务很贴心，手写卡片诚意满满。房间的硬件设施很赞，有考虑到各种细节。入住两晚，在酒店吃了早餐下午茶和晚餐，都很值得一尝。如果再到乐山，安珀会是首选酒店:),正面,95,短(51-100字)
224,"这次去乐山旅游，花了很多时间选了这间酒店，总体来讲是没有达到预期的。硬件整体来说不错，服务这块相较丽晶、洲际这些还是存在比较大差距。简单讲几个点吧：1. 晚上睡觉时每隔一段时间有电流声，因为有宝宝告知管家已经休息了麻烦管家排查下，后面宝宝睡觉后来敲门 2.离店后管家讲有个衣架没有找到，实际上晚上用了只是挂在浴室门口，应该不算多隐蔽的位置吧 3.迎宾水果如果不是很新鲜的话建议取消，反而拉低评价； 也有很多好的点： 1.早餐服务味道各方面不错 2.离店时因为行李较多管家坚持把我们送到停车场车旁边，也送了伴手礼味道不错
展开更多",正面,264,长(201-500字)
225,"房间非常宽大，具有法式特色。
卫生：非常干净。
环境：非常安静。",正面,32,极短(≤50字)
226,"设施：硬件一流，酒店造价1个亿以上，单房造价60万。

卫生：2023年新开的，卫生表现非凡。

环境：酒店坐落在住宅小区附近，景观差了点，但是好在店内环境很不错。

服务：一对一的管家服务，感觉服务人员比客人多，外卖给你送到房间。进出和退房都接送陪伴。

茉西餐厅双人午市套餐或下午茶（2选1）:酒店的西餐出品一流。
展开更多",正面,164,中等(101-200字)
227,谢谢乐山安珀，谢谢酒店所有服务人员。 宾至如归，以后来乐山还会继续选择安珀酒店。,中性,40,极短(≤50字)
228,"安珀的设计、酒店设施、服务质量都远超期待！
酒店位置虽然不在最中心地段，周围目前还处于开发建设阶段，但是进入酒店内部根本不需要为外界这些纷扰担忧；酒店细节处的鲜花花艺也彰显品味。
早餐种类繁多，品质优良；随赠的午餐也是精致美味；健身房虽小，但也设备齐全，干净整洁。

真的是性价比很高的一次住宿体验！
展开更多",正面,155,中等(101-200字)
229,出乎意料的好，环境地段还有管理非常满意，下次来乐山还来住,正面,28,极短(≤50字)
230,景区结束时间较晚临时决定乐山住一晚，酒店不错，新酒店设施没的说，服务热情管家送到房间，订时仓促房型定错了又给换的房间，早餐也不错就是开餐晚点，周边很方便几百米就是商业综合体，就是一楼入口略显寒酸，转了一圈才找到。,正面,106,中等(101-200字)
231,安珀的服务一如既往的好。乐山的安珀绝对的性价比王者。谢谢小祝、小袁、小雨优质的服务。安珀虽小众但是细节质感都很在线。下次来乐山还是会选择安珀,正面,70,短(51-100字)
232,"设施：绝
卫生：绝
服务：绝
环境：好
迷你吧:免费",正面,26,极短(≤50字)
233,"整体很满意，酒店位置距离高铁站比较近，出行方便
酒店环境和服务也都还不错，住的很舒服",正面,42,极短(≤50字)
234,真的很棒的酒店，智能化设计，卫生非常的干净，屋里的minibar和矿泉水档次也非常高，早餐很有当地的特色，中西结合选择很多，下次来还要入住。,正面,70,短(51-100字)
235,房间干净整洁，前台小赵、小颖也很亲切，服务到位，推荐！,正面,27,极短(≤50字)
236,前台同事非常好尤其是小张和小帅，下次还会来。,中性,22,极短(≤50字)
237,私密性强，人少安静，服务比同类型同价位酒店例如英迪格贴心许多，早餐的美式口感不错，原本对附送的午餐没报什么期待结果也还可以，分量不多更像brunch，早一点吃完留点肚子下午再去城里炫小吃就很合适。房间内部中规中矩，胜在有咖啡机，操作简单快捷成功安利了懒人立刻购入了一个把家里需要清洗的老机子淘汰。美中不足是周围施工工地有点多，以及卫生间洗漱台没有专门的化妆镜。下次想来乐山吃东西会来。,负面,192,中等(101-200字)
238,房间很满意，管家小芳服务也很到位,中性,16,极短(≤50字)
239,房间干净整洁，前台服务员小赵和小郭服务热情有礼貌，体验非常棒！,正面,31,极短(≤50字)
240,"服务：每个人都很亲切

设施：房间细节很好",正面,21,极短(≤50字)
241,房间装修风格不错，很安静。关键还免费升级房间，贴心为孩子送来戴森的空气净化器，我和孩子一晚上都睡得很好。特别是前台小帅小赵贴心引导楼层，送水果。没想到在这里也能感受到五星级酒店的服务。下次来还住这家酒店,正面,101,中等(101-200字)
242,前台小赵小方办理入住效率超高，全程微笑服务让人倍感亲切，瞬间消解了旅途的疲惫。早餐种类特别丰富，中西搭配合理，能满足不同口味需求，吃得很满足。房间风格也很对味，简约清新很有格调，让人觉得舒适又放松，整体体验超棒！,正面,106,中等(101-200字)
243,这家酒店的服务非常周到，设施服务都达到了国际连锁的要求，在乐山这样一个充满了各种网红坑人民俗的城市里很难得。特别要感谢服务管家小代小帅和前台小赵，他们非常热情友好，帮我们解决了很多问题，还送了一个可爱的玩偶小羊。酒店的早餐非常丰富并且都是乐山本地小吃，给酒店打五星好评！,正面,135,中等(101-200字)
244,房间干净整洁，就是酒店大门不太明显,正面,17,极短(≤50字)
245,服务很贴心，用品都是五星标准，不错的体验,正面,20,极短(≤50字)
246,酒店位置比较偏 周边还在开发 开车过去差点开过了 房间风格很喜欢 简约大气 但是空调不太好 温度太高 调不下来 服务不错  边上有个万达 吃饭还是方便 总体还是满意的,正面,83,短(51-100字)
247,颂钵疗愈体验 和按摩 很赞。环境好！,正面,18,极短(≤50字)
