评论ID,客户类型,住宿时长,问题分类,评论长度,评论内容
357,普通客户,未知,其他,78,这家酒店是我盲订的。结果真的让我太惊喜咯。从进酒店开始。真的不管是服务还是环境。真的很好。想来乐山的耍的小伙伴。这家不会让你失望。我以后来乐山都只住这家咯。
358,普通客户,未知,"房间设施, 餐饮问题, 价格争议, 清洁卫生",448,"环境：新发型的一家酒店，五一刚营业，进门像一个暗门酒廊的感觉，放满了花瓶和鲜花，电梯到达前台后是电子屏幕和沙发，更像设计师家里的客厅，氛围感拉满；另一个分区就是餐厅和室外露台，健身房在同一层，泳池暂时还没修建好有点可惜，公共区是我喜欢的风格～
房间就是明显卧室和浴室的分区，干湿分区，浴缸和化妆间的分区，卧室内有木门进行隔离，隔音效果非常好，整体像写字楼改造的酒店，不算大但装修很新。

卫生：才装修..."
363,普通客户,未知,"服务问题, 预订问题",93,"酒店装修风格不错。
管家服务太差，服务态度差，不耐烦，回复说话很冲，难以想象是星级酒店的员工言行。
时候负责人来沟通，说什么以后大家都不会见面了不必在意blabla，这沟通水平也是服了。"
366,商务客户,未知,"房间设施, 餐饮问题, 价格争议, 清洁卫生",578,"第一次和同事两人到乐山出差并借此机会游玩一下，抵达乐山火车站才临时订的酒店。一般我都会预定新的和品牌的酒店（因为卫生、服务、配套都比较有保障），浏览了一圈平台意外发现了乐山安珀酒店，急忙订了一个双床房。
看了酒店介绍才知道是一个有一百年历史的法国品牌，未入住光看评论和照片已经满怀期待了。
酒店离火车站很久十分钟车程就到了，到达酒店时门口就给人一种气派又神秘的感觉，迎宾带我们到四楼checkin，和..."
368,普通客户,未知,其他,41,整个酒店艺术气息很浓，在乐山能住到这么舒服的酒店很难得，前台小郭管家小娟服务态度好
376,普通客户,未知,"房间设施, 餐饮问题",129,房间很好！有管家对接， 唯一不足的是暖气不够，走的时候也充分询问了我们的意见，餐厅的早餐精致有特色，当地的跷脚牛肉， 蛋烘糕，钵钵鸡都有。 整体的布置很温馨舒适，矿泉水是环保包装，mini bar的峨眉雪真的是一秒很惊喜， 到房间保温杯装的银耳汤很温暖用心。
392,商务客户,1晚,房间设施,151,到乐山出差，原本计划完成工作回成都，但是工作没有做完，临时决定在乐山住一晚，刚好在万达附近搜到这家酒店，想着尝试一下，没想到酒店设施设备可以说是乐山酒店的天花板，服务也超级好，为我办理登记的Beata和Amy小姐姐都超级热情，入住期间竭尽全力的满足我的需求。如果下次有机会再来乐山，安珀一定是我的首选。
415,普通客户,未知,"服务问题, 房间设施, 餐饮问题, 清洁卫生",241,"总体感觉物超所值。酒店设计非常漂亮，很有品味，细节非常有档次。客房水平一流，设施高级，床品舒服，卫生干净，提供的用品都不错，能看出很用心。欢迎水果新鲜种类丰富，早餐一级棒，特别是西餐类的很好吃，各种小吃都有，淡季出品会减少一些。
可能是新开业的关系，客房人员的服务水平有点参差不齐。一线员工的服务意识和水平还要加强，某些员工比较僵硬冷漠，很可惜。后来经理回访态度非常好，相信他们一定会改进。在乐山这个..."
417,普通客户,未知,"房间设施, 餐饮问题",107,酒店很有设计感，房间也很新，细节都做得不错，超级喜欢他家的柠檬水，前台还专门做了一瓶柠檬水送到房间，真的有心了！本来对酒店早餐很有期待，第一天下去比较晚，有的东西没了，第二天是点单模式，就减少了好多东西，有点遗憾！
423,商务客户,1晚,"房间设施, 价格争议, 位置交通, 清洁卫生",545,"1、酒店服务极差。订了两间房间，中午2点到酒店办入住，前台理直气壮的说卫生打扫不过来，让我们一行人自行在大厅等待，（酒店大厅非常小，等房间的人特别多，沙发上都挤满了人）一直等到下午5点在我们的强行要求下才勉强仅收拾了一间房间让我们一行人先落脚。期间没有任何工作人员提供任何服务，甚至连水都未提供喝的。工作人员都是能敷衍就敷衍，且没有任何歉意，要是不态度强硬些，指不定要等到晚上去。
    2、所谓的..."
428,普通客户,2晚,"服务问题, 房间设施",161,订了两间两晚，第一天入住刚打开房门一股难闻的抹布水味道，放了台空气净化器稍微好点。第二天上午离开酒店的时候跟管家说了麻烦两间房打扫下，结果下午四点多回来发现两间房依旧没打扫，然后继续催了两三次依旧没人来打扫……不要说因为假期人手不够这种说辞，所有酒店都是这样啊，服务跟不上就不要找藉口。体验感真是不舒服，下次也不会再来了。
439,普通客户,未知,房间设施,129,已经是第四次入住了 各方面都很好  因为睡眠不好 所以对酒店的隔音各方面都比较挑剔 但这里给了我家的感觉 很安静 不被打扰 服务很好 需要什么管家服务基本都能满足  前台的小赵和小颖也是很贴心 入住前反复确认了对房间的要求 退房后还关心入住体验  真的很贴心
453,商务客户,未知,价格争议,32,很一般。服务态度和贵阳安珀完全没发比。前台工作人员没有一丝笑容。
468,普通客户,未知,"服务问题, 餐饮问题",428,从进门开始就有那位司机师傅引导我们进去，服务态度真的非常好，他全程帮助了我们拿行李，带我们到大堂。入住后酒店真的非常舒适也很干净，有私人管家帮助我们，欢迎水果也不错，很喜欢那里的矿泉水，包装很特别，我很喜欢。后续点的外卖私人管家都会帮助我们送上来，那个戴眼镜的小哥哥服务态度也很好，酒店所有的员工的服务意识也是好的，由于前一天晚上太晚离开健身房没有找到大门，后续管家和经理也马上解决了这个问题，不过还...
479,普通客户,未知,其他,48,管家小代态度很好，及时补充了欢迎水果，前台小郭解答疑问很细心，但遗憾未能延时退房，春节大假理解吧
558,普通客户,未知,房间设施,73,体验感不错，离万达很近周边吃美食也方便，房间专门有化妆镜 还有免费的饮品 很贴心 前台服务也很好 尤其是小鱼 很有耐心 帮忙解决问题 下次还会来的
563,家庭客户,未知,其他,17,"小朋友非常喜欢
下次还会考虑入住。"
577,普通客户,未知,其他,5,隔音太差了
583,普通客户,未知,房间设施,11,房间有些小细节需要修改
596,普通客户,未知,"房间设施, 位置交通, 清洁卫生",155,乐山挺不错的一家酒店，风格设计的还不错，服务人员都非常好，很热情；卫生干净整洁，房间面积也挺大的，智能马桶很不错，热带雨林和花洒还能同时出水，还有防烫伤调节温度功能，尽显细节，在乐山这个旅游城市来说已经很不错了，距离美食街也不算远；办理入住的小郭快速效率高，退房的时候小方和小杨还送了乐山的特产米花糖，很热情。
616,普通客户,未知,其他,52,环境很好，对接的管家小帅小王和前台小钱服务都很好，酒店整体非常不错，可以说是零差评，给乐山之行锦上添花。
622,普通客户,未知,"房间设施, 位置交通",73,房间很不错 管家小方小帅服务体贴 下雨不方便出行还送了雨伞 前台办理入住也很丝滑全程服务都是甜美的笑容 体验很棒 这次来玩的很开心 下次还会过来的
626,普通客户,未知,"房间设施, 位置交通",87,这家酒店布置不错，有很多可爱的绿植，整体文化感比较强，晚上睡觉比较安静，酒店出来不远有大型商圈，吃东西方便，另外，小雪提供的管家服务周到，房间里的卡片估计是她写的，字很好看。
629,普通客户,未知,"价格争议, 预订问题",15,房型好，除了贵点，没什么缺点！
632,商务客户,未知,"房间设施, 餐饮问题, 位置交通",117,"服务：管家小方工作认真负责，为人真诚，服务太到位了，对酒店的好感顿时拉满。连出租车司机都说这家酒店的服务是乐山最佳。
设施：一流，别家没有的这家有。
餐饮：味道好，食材质量高，跷脚牛肉、蛋烘糕比外面的还好吃，水果质量远超很多大牌五星。"
636,普通客户,未知,位置交通,93,"特别喜欢他们的大门和大堂
过来听出租车师傅说这里是新区，离张公桥不太近不方便，但是住了后发现距离也还好，主要是酒店太棒，服务也很好，管家小方特别温柔耐心，下次来还会选这里，距离不是问题。"
647,商务客户,未知,"房间设施, 餐饮问题, 价格争议",84,原来住过贵阳的安珀几次就对这家酒店印象比较深刻，没想到乐山也有，这次来出差，没有丝毫的犹豫又来了。小黄经理和管家小周的服务超级好，也很贴心。房间很大很宽敞，早餐也很好吃
651,普通客户,未知,"房间设施, 价格争议, 预订问题",205,重庆自驾过来三个多小时 旁边都是新盘居多 房间风格好似中式与法式的融合 周边有万达广场 停车可以就停平层也有地下停车场 喜欢13楼和14楼是SPA接待处和spa与冥想的地方 很安静 spa做完也很舒服 感觉比大堂那些都要漂亮 酒店每层楼层高很高 房间距离嘉兴路那些开车大概十几分钟 附近有个熊老大过桥米线好吃 希望下次来能住到粉色那个房型 看起来很少女 前台小娟和管家小郭服务滴很贴心 电视不能投屏是...
652,普通客户,未知,"房间设施, 餐饮问题, 位置交通, 清洁卫生",109,酒店挺不错的，交通还算方便的，附近大商场，离高铁站也不远，提前预约了接送服务，司机祝师傅服务和小代服务很好。安珀酒店设计很有特点，房间卫生干净，设备质量不错。前台办理入住的小赵服务效率很高，还有早餐厅的小姑娘非常热情。
672,商务客户,未知,房间设施,63,安珀酒店整个配套设施是很不错的，工作人员服务很到位，小黄经理、前台小郭和小娟均专业热情，第一时间解决问题，下次到乐山再入住安珀
693,普通客户,未知,"房间设施, 清洁卫生",105,酒店挺好的，房间干净卫生空间大采光好，空调效果也好，前台小方响应迅速，及时解决各类问题，退房时还热情协助搬运行李，管家小娟在入住前主动联系，细心确认需求，服务贴心周到。整体体验很舒适，我们住的很满意，值得推荐。
695,商务客户,未知,"房间设施, 位置交通",128,这次入住安珀酒店非常满意！前台小郭和小方服务热情高效，工作人员快速办理入住和退房、解决需求，细节周到让人如沐春风。房间装修风格简约温馨，浅绿色背景墙+暖色调搭配自然，床品舒适，设施智能便捷。特别喜欢洗漱区域的设计，既美观又实用。整体体验远超预期，强烈推荐！
700,普通客户,未知,"房间设施, 餐饮问题",134,这次入住的酒店真的让我惊艳，从进门的那一刻起，热情的服务让我感受到温馨，前台小赵办理入住迅速，推荐美食，房间也很大舒适，酒店周边就是万达，逛也方便，管家小郭更是服务细心，有什么问题都是第一时间解决，推荐的油炸也好吃，早餐也很丰富，味道很赞，总之这是一次超棒的住宿体验。
701,普通客户,未知,房间设施,160,第二次来乐山游玩，第一次定安珀，实地到了酒店感觉很惊艳，体验特别好，给这次旅行增色不少。酒店装修风格独特别致，房间干净整洁，隔音效果好，晚上可以安心入睡。健身房器材齐全干净，装修也很大气。管家小赵亲切温暖，前台小李很热情，房间送的下午小点心很精致，迎宾水果新鲜好吃，拖鞋质量很好，穿起来很柔软。下次来还会继续定这家酒店。
702,普通客户,未知,房间设施,84,"前台小娟办理入住很迅速，活动都仔细给我们介绍了，房间需要送东西联系管家小方也是很快就送来了。提前告知了房间喜好，两个房间挨在一起很不错
唯一缺点，没有配备洗衣房和烘干机"
717,普通客户,未知,"房间设施, 清洁卫生",111,"安珀果然没让我失望…每天都有水果，小糕点，我们房间的管家服务也是超棒的，点名表扬管家小徐和小雷。
卫生：100分
设施：100分
环境：100分
服务：100分
迷你吧:牛奶、矿泉水、饮料都有
欢迎水果:每天都有
展开更多"
728,商务客户,未知,餐饮问题,71,这个酒店相当不错，我是经常出差的，经常住酒店，都被惊艳到了！比我在沿海住的很多五星级酒店都要好！特别是他们的早餐服务，管家小方服务也很贴心！！
735,普通客户,未知,房间设施,101,酒店整体来说都是不错的，在乐山这个城市应该是最好的了。整体偏法式风格，床垫很舒服，睡得很好。前台小娟办理入住退房很迅速，有需要联系管家小郭回应也很快。唯一的缺点就是差个送外卖的机器人。总体来说还是推荐！
736,普通客户,未知,其他,45,酒店设计感很强，很喜欢。管家小袁小方贴心周到，有问题及时处理，下次来乐山还会入住安珀酒店！
756,普通客户,未知,房间设施,235,"安珀酒店服务非常好。第一次入住给我升级了房间，房间非常宽敞舒适，各种设施也很好。整个酒店设计风格走奢华极简路线，个人很喜欢，唯一稍微有点想吐槽的是，设计过于极简导致房间里有些开关很难找🤣。
在高铁上非常临时地问管家有没有车站接送服务，管家小雷都能很及时地给我安排好司机。整个入住过程我有任何问题，小雷和小方都能及时回复我。服务非常好。送站当天，管家也帮我联系好司机早上提前上班送我们去车站。
另外，下..."
762,家庭客户,未知,其他,6,小朋友很喜欢
763,普通客户,未知,"房间设施, 餐饮问题, 预订问题",129,"房间挺新，挺雅致的。
服务人员很亲切，早餐的面条好好吃。
还有很基础的豆浆油条，油条很脆超好吃。
虽然菜品比较少，但是都很不错。
小酥肉香酥，水果🍉新鲜。
入住时还给升房了。
管家小帅，小代和经理小黄都很赞噢👍

周边还在建设中，希望可以越来越好。
展开更多"
768,普通客户,未知,餐饮问题,100,酒店艺术氛围，离万达也很近，早餐丰富有乐山特色翘脚牛肉等味道跟外面差不多，管家小代和小袁服务周到细心，会提前打电话联系，送外卖也很快，前台小郭也很专业办入住很快，非常满意，下次来乐山还会选择这家酒店！
770,普通客户,未知,其他,97,不愧是府邸式管家服务，非常棒，体验很好，入住前就会致电问我入住需求，尤其是小方和小帅，给我推荐美食，回复及时，有什么问题第一时间解答，前台退房的时候还送了伴手礼，很不错，下次来乐山还会选择安珀。
779,家庭客户,未知,"房间设施, 餐饮问题",165,"今年五月新开的，应该是当地最好的酒店了，硬件好于洲际标准，服务也贴心，专业管家服务，尤其前台小朱经理，check in,out都帮我们拿行李并送至停车场，点赞；另外酒店早餐丰富精致，大厨也非常热情专业，亲自在现场指导服务人员，我们有带小朋友想吃炒饭，也特意现做了炒饭；临走时还每个房间赠送了小礼品；唯一的不足就是健身房稍小了一点。"
784,商务客户,未知,"房间设施, 位置交通",284,"几乎找不到缺点的完美入住体验
房间非常干净舒适，环境优雅，干湿分离，配套用品非常贴心，还准备了丝瓜络，注重细节
房间里就提供了非常充足的饮用水，还有当地特色饮品、水果和小零食，银耳汤也很好喝
再说服务，这家酒店真的做到了宾至如归，从踏入大堂那一刻起，就能感受到工作人员的热情，从门口的管家到前台到客房服务人员，在酒店里遇到的每一位工作人员都是面带微笑，主动打招呼，热心提供咨询。
尤其我的管家小方和小..."
795,普通客户,未知,清洁卫生,9,卫生环境是没问题的
816,商务客户,未知,其他,69,前台帅哥小郭非常热情。服务很好。说话很温柔。管家小帅小代很热心的给我们解决入住。及时解决问题。外卖也能由她们工作人员亲自送上楼。棒棒哒👍🏻
825,普通客户,未知,价格争议,96,住过贵阳安珀就被种草了，这次到乐山毫不犹豫就定了乐山安珀，服务还是一如既往的好，管家小代和小帅有求必应，前台小钱也热情，唯一就是可能春节期间小孩比较多，楼上会有一阵阵的声音。临走还送了纪念品。
844,家庭客户,未知,其他,144,"首先呢，第一次带小朋友出去，管家小周倒是安排的挺好的，把小朋友的围栏什么的都考虑到了，尽心尽责。
其次，酒店新开的，各方面都挺好的，也没有味道，希望能一直保持下去。
最后，去乐山的最优之选，没有之一。

最大的遗憾，下雨了，不然可以晚上在露台吹吹风，喝喝酒，聊聊天，那才是舒服…
展开更多"
849,普通客户,未知,"房间设施, 餐饮问题, 预订问题",107,五一假期入住的，还给免费升级了房型。电梯里香香的，房间很大，隔音也非常好。有这么问题直接问管家，回复都非常及时，服务非常棒。感谢小袁小代和小祝的细心服务。酒店的早餐也非常丰盛和好吃。位子也比较多，假期也没有很拥挤🥳
850,情侣客户,未知,"餐饮问题, 清洁卫生",64,各方面都很不错 法式浪漫 管家小雷和小帅也很不错 服务态度特别好 下次来乐山度假也来住 卫生完全没问题 下午茶很不错 早餐也好吃
859,普通客户,未知,"房间设施, 餐饮问题",135,"非常不错的酒店，服务、环境、硬件设施、餐饮不止在乐山，在四川内也是非常优秀的。
早餐非常有特色，咖啡很专业，牛肉面、甜皮鸭也非常正宗，在酒店里能做到这个程度很难得，还有现烤的牛角包。服务态度也很好，任何疑问管家小周都在10分钟内回复，这点比后面峨眉山的酒店管家优秀很多👍"
866,普通客户,未知,其他,37,管家小代 小帅很热情 进出都会问候 小郭处理问题非常迅速 很满意的一次入住
881,家庭客户,未知,"房间设施, 餐饮问题, 管理问题",454,"这次入店体验服务超乎我的预期，订酒店的费用不是很高，所以预期也不是很高。到了酒店从设施，装修的时间，风格都是自己喜欢的，设施新，复古风！
在服务方面，感觉比华尔道夫酒店的服务更加贴心，我特别注重细节，从进入酒店，管家小赵发来很多当地的特色小吃和地图，还有房间配备的水果，晚上送来的甜品和管家亲笔留下的暖心简画和贴心的字条，这些小小的细节更能打动我！
离开酒店当天雨下得特别大，准备带孩子吃早餐，联系了..."
884,普通客户,未知,"房间设施, 餐饮问题",153,酒店环境设施很不错在乐山是数一数二的，整个装修设计很有格调，就在万达广场旁边.管家Mark 一路详细介绍服务周到，入住期间有问题及时给我们解决，办入住时前台小钱还帮我们做了升级，服务态度很好，第二天早餐是点餐形式的，品质很棒还不浪费，退房时黄经理还来了解我们的入住感受，我只能说不虚此行，很棒的一次入住体验
887,朋友聚会,未知,"房间设施, 餐饮问题, 价格争议, 位置交通",308,"酒店位置离高速出口不远，到市区吃饭和景点需要开车几公里，自驾的话比较方便。

设施：房间比较宽敞，马桶有卫洗丽，吹风是戴森，洗漱用品有漱口水。早餐品种在星级酒店里不算多，优点是不像其他酒店的全自动咖啡机，而是用的半自动，所以员工现场还可以制作dirty。

服务：管家小帅、小代和前台小颖的服务很亲切、贴心；入住会引导进房间作简单介绍；欢迎水果的荔枝很新鲜，小番茄用的千禧，还赠送了一瓶玻瓶的峨眉雪；..."
894,普通客户,未知,房间设施,61,环境非常棒 服务也非常好 管家小方小雪贴心处理所有问题 而且来玩还推荐本地旅游攻略 很舒服的体验 酒店设施齐全 住的很舒服
903,普通客户,未知,"房间设施, 餐饮问题, 清洁卫生",187,"1.酒店：环境非常好，房间干净卫生，前台小钱小王服务热情，有专人陪同办理入住及送到房间。
2.服务：酒店主打电话接站，司机小祝很早就在高铁站等，还贴心的带了雨伞，主动提行李。
3.用餐：酒店早餐很丰盛，食材很棒，牛肉面牛肉超级多，服务人员随时帮忙撤换餐盘，很用心，用晚餐还有经理模样的人主动问用餐情况，满意不满意。
4.下次过来还会继续住这家酒店，也希望酒店继续保持优质服务"
907,普通客户,未知,"房间设施, 餐饮问题",154,这次挑了很久最终选择了乐山安珀，非常满意，管家小代，小税有求必应，所有问题都耐心解答，周边环境，酒店的设施时间都有详细告知，非常不错，前台小颖也很耐心专业且快速的办理入住，有人送行李到房间，从到酒店到入住都很丝滑，酒店早餐的蛋烘糕真的深得我心，我吃了4个，哈哈哈哈，下次去乐山还会选择安珀，够新，服务品质在线
910,家庭客户,未知,"房间设施, 餐饮问题",97,出门几乎都是住五星，这家安柏的硬软件很合我们的喜好。甚至可以和超五星媲美，设计审美可以算是第一梯队，出现在乐山很惊喜。设备安心，早饭好吃。管家小祝也很负责任，唯一小缺点是11岁孩子需要正价早餐。
920,普通客户,未知,"房间设施, 位置交通",63,酒店位置在万达附近，距离美食街也不算远，吃的逛的也比较方便，房间设施齐全，管家小郭小娟服务很好，前台办理入住迅速，整体还不错。
928,普通客户,未知,餐饮问题,83,酒店硬件很超前。早餐人性化，客人多了吃自助，客人少了可点餐。管家小祝接恃热情，介紹服务专业，前台小税态度热情。对办理入住很专业。建议酒店给每个楼层电梯边放一个拉圾箱。
943,普通客户,未知,其他,38,在乐山难得一见的法式风格酒店，设计风格和服务态度都很棒，感谢管家小方和小徐！
952,普通客户,未知,"房间设施, 餐饮问题, 价格争议, 位置交通",447,"这次住的真的很舒服～酒店干净又漂亮。
进门就能看到手写卡片，超级用心，烧水壶很干净，无水垢，而且烧水巨快!!!
胶囊咖啡机很新，mini bar 还有峨眉雪，荔枝味超好喝!不够还可以续，就连矿泉水都好高级。
超大浴缸非常舒适，每天睡前都有赠送水果和甜点，夜宵米糊好好喝，椰蓉小点心也好好吃，洗浴用品是艾绰的，戴森吹风机，出热水很快。
酒店位置就在万达附近，周围好吃的特别多，半夜外卖都是前台直接给送上..."
959,普通客户,未知,"房间设施, 位置交通",292,"超越期望值的体验，入住之后安排了专门的管家，非常细心的照顾到了所有需求，超级满意。

入住的时候送了果盘，桌上有手写的欢迎卡片，迷你吧赠送了各类饮品，椰子水点赞！！！可以说比成都很多上千的酒店的品质都要好。

房间的格局很合理，内部设计也非常艺术，床品很干净舒适，晚上睡了很舒服的觉！用品配置很高端，汉斯格雅的卫浴，吹风机是戴森的，意外的是还提供了乳胶枕、薰衣草枕给我们，晚上还请管家安排了中草药泡脚..."
968,情侣客户,未知,"房间设施, 餐饮问题",122,"端午节带家人一起游乐山，选择了安珀酒店
酒店设施配套齐全
房间充满法式浪漫
早餐品种也很丰富
家人在乐山留下了非常难忘的印象
要感谢本次入住为我服务的管家小帅小代和前台小颖为我们提供了宾至如归的服务
下次来乐山还是会首选安珀酒店💖💖💖
展开更多"
969,朋友聚会,未知,"餐饮问题, 价格争议, 清洁卫生",249,听朋友讲乐山新开了一家安珀酒店还不错，趁着最近有点空闲时间就和夫人一道去很久未去的乐山玩一玩，入住了乐山心念已久的安珀酒店。因为在贵阳入住过安珀酒店 ，对安珀酒店的服务、风格、卫生情况均留下了很好的印象，不免两个酒店有一些比较。总之觉得乐山的酒店各方面与贵阳差不多，都很喜欢！从一订好房开始，酒店的服务就跟上了，前台小郭、管家Lip、西餐厅服务人员均有丰富的专业水平，相当不错！对提出的一些问题及时进...
992,普通客户,未知,"房间设施, 餐饮问题, 位置交通",177,第一次来乐山，也是第一次住安珀酒店，体验非常棒。酒店管家Jessica提前一天电话联系加了微信，安排了高铁站接送，司机小周师傅还帮我们介绍了一些本地人爱去的美食，前台Lola服务也很棒。早餐是点餐制，味道不错，房间设置也很新，胶囊咖啡机，卫洗丽都被配备齐全，非要说不足的话，离老城相对远一点，打出租或者快车，20元左右。乐山两天不太够，下次考虑多住几天。
993,普通客户,未知,房间设施,54,房间很不错，很宽敞，干湿分离，床也很舒服，管家小帅很好，有问题马上就能解决，下次来还会继续选择入住这家酒店。
1001,普通客户,未知,"房间设施, 餐饮问题, 清洁卫生",213,"体验感太好了 ！房间特别舒适，干净 入住的时候错过下午茶时间 管家贴心的送了一份小甜品 好吃！第二天去爬了峨眉山 累趴了 回到酒店，竟然有用保温杯装好的暖呼呼糖水 感动坏了😄早餐也非常不错 卖相和味道都很棒！适合小姐姐们打卡拍照喔。 还有我们的管家小帅和小周 特别好 凌晨还给我们送外卖 问能不能再送一份水果 也是马上就安排上来了 总之，真的很满意 下次去乐山一定会再次入住 🥳

卫生：好
环境：优..."
1004,家庭客户,未知,"餐饮问题, 价格争议",116,自驾游经过乐山，因为住过贵阳安珀酒店觉得没可挑剔的服务后，这次也选择了乐山安珀酒店同样非常满意，特别是管家Amy需然没见本人但提前一天就联系我了解入住需求，到酒店后又推荐附近美吃，还把小朋友的早餐也免了，服务真是很贴心！必须好评👍🏻
1017,普通客户,未知,"房间设施, 餐饮问题",221,房间宽敞干净，很新的装修，还有接送高铁服务，去的时候没有用上，回程免费送到高铁站，并且管家一直帮忙把行李拿到安检处才挥手离开，这服务确实没话说，早餐出品不错，样式不太多但是胜在味道好，在酒店就可以吃到乐山特色小吃钵钵鸡，下次再来乐山必定还是安柏，不足之处就是旁边有个工地，会有一小丢丢吵，但是不是特别影响，房间小吃、饮料全部免费，而且是很好喝的葡萄味和荔枝味，管家小帅和小袁服务很棒，给你们10分，希...
1026,商务客户,未知,"房间设施, 餐饮问题, 价格争议",175,发自内心的好评，结婚纪念日原本是选的其他酒店，刷到这个酒店很多好评又是新酒店，按以往的经验新酒店都很注重服务就选了这个酒店。结果是意外的满意，给管家Lulu、Mark说了是结婚纪念日想要个小蛋糕和花，管家给安排的妥妥的，另外还有接送站服务，酒店硬件设施也很好，工作人员都很友好热情，早餐虽然简单但也胜在精致，了解到贵阳还有这家店，准备有机会也去打卡。
1031,商务客户,未知,"房间设施, 餐饮问题",197,"很少评论，这家值得，确实不错。
到酒店门口就有一个美女（管家小朱）全程陪到我们办入住，很奇怪咋个还有工作人员全程跟到呢，一问才晓得是他们家的管家式服务，蛮新鲜。
酒店是新开业的，配置不错，花洒是汉斯格雅的，吹风机是戴森的，管家小朱送来的空气净化器也是戴森的，更夸张的是电梯里、房间里的蝴蝶兰还都是鲜花，看着确实好高级。
酒店早餐不错，看的出来是用心做了。
再来乐山的话，争取再住一次。
展开更多"
1039,普通客户,未知,"餐饮问题, 价格争议",121,这家酒店是一个法国品牌，酒店没有高大尚都门头，进去后里面的装修风格也是简单，低调奢华有内涵，隐秘性做的非常好，管家小袁服务周到，下次有机会再来会再次入住，体验感非常棒，目前中国有三家店，乐山，成都，贵阳，还有一个法式西餐厅简直不要太惊艳了我，
1044,普通客户,未知,"餐饮问题, 位置交通",38,管家小周的服务很赞，早餐特别好，整体入住体验远超预期，下次来乐山吃还住这家！
